path,size_kb,modified,cells,code_cells,md_cells,title,uses_core,read_h5ad,uses_cuda,uses_sklearn
notebooks/legacy/16_BivariateDEAtretic_Linux.ipynb,1186.4,2026-02-03,48,40,8,**Atresia** refers to the process by which ovarian follicles degenerate and are reabsorbed before reaching maturity. This is a natural part of the ovarian cycle in females and affects the majority of follicles within the ovaries.,,1,0,0
notebooks/legacy/19_basic_gp_linux.ipynb,793.3,2026-02-03,28,24,4,As of Mon 12th of Oct running on devel branch of GPy 0.8.8,,1,0,0
notebooks/legacy/21_BivariateKernel.ipynb,546.4,2026-02-03,39,37,2,"Note to self: currently, the code works, but the scipy.optimise minimise does not work as expected.  The raeson I think has to do with the bound and the. way to deal with positive definiteness.  If they just arbitrarily give out some perturbations, then obviously they will get just zero gradient.",,1,0,1
notebooks/legacy/32_SyntheticDataCreation.ipynb,437.7,2026-02-03,37,31,6,We create 300 csv files of trivariate synthetic data,,0,1,1
notebooks/legacy/33_DirectContestwR.ipynb,247.8,2026-02-03,10,9,1,# We use the 300 csv files created and implement a direct contest against the r codes.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/33_DirectContestwROut-Copy1.ipynb,554.2,2026-02-03,6,5,1,# We use the 300 csv files created and implement a direct contest against the r codes.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/35_HattieMultipleData.ipynb,793.6,2026-02-03,22,17,5,# This notebook tracks the amount of memory needed to do the optimisation.  Note that we only run for 1 step each cycle.  Otherwise the time taken will be too long.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/37_MemoryTracking.ipynb,16.1,2026-02-03,15,10,5,# This notebook tracks the amount of memory needed to do the optimisation.  Note that we only run for 1 step each cycle.  Otherwise the time taken will be too long.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/38_marginal_fitting.ipynb,5.2,2026-02-03,8,5,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/39_cpu.ipynb,143.0,2026-02-03,13,9,4,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/39_gpu.ipynb,10.6,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/40_CrossFitting.ipynb,10.6,2026-02-03,13,9,4,"# Giving marginal fitting results, fit the cross terms","preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/41_create_synthetic_data.ipynb,18.3,2026-02-03,14,11,3,# Goal of this notebook is to create synthetic data that look like Hattie's data.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/42_kernel_smoother.ipynb,8.1,2026-02-03,10,8,2,"# Goal of this notebook is to read in locations, kernel smooth them into various grids.","preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/42_random_subsampler.ipynb,9.8,2026-02-03,12,10,2,# Goal of this notebook is subsample the locations randomly.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/43_fitting_and_validation_metric.ipynb,19.4,2026-02-03,9,6,3,# This is the notebook that takes in the kernel-smoothed data and does fitting.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/43_randomly_subsampled_fitting_and_validation_metric.ipynb,15.7,2026-02-03,8,5,3,# This is the notebook that takes in the kernel-smoothed data and does fitting.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/44_metric_calculation.ipynb,35.4,2026-02-03,13,7,6,"<span style=""color:red; font-family:Helvetica Neue, Helvetica, Arial, sans-serif; font-size:2em;"">An Exception was encountered at '<a href=""#papermill-error-cell"">In [4]</a>'.</span>","preambles,helper_functions,fitting_functions",0,1,0
notebooks/legacy/44_randomply_subsampled_metric_calculation.ipynb,29.9,2026-02-03,11,7,4,# calculates the val metric after fitting is completed,"preambles,helper_functions,fitting_functions",0,1,0
notebooks/legacy/45_visualisation_of_hyperparams.ipynb,536.7,2026-02-03,16,13,3,# This notebook contains the visualisation of hyperparameters based on the validation metric used.,,0,0,0
notebooks/legacy/46_basic_data_analysis_metric_against_hyperparam.ipynb,339.2,2026-02-03,15,12,3,# how does validation metric depend on hyperparameter?,"preambles,helper_functions,fitting_functions",0,0,1
notebooks/legacy/47_cross_fitting.ipynb,33.2,2026-02-03,16,10,6,# Takes fitted marginal parameters and performs cross terms fitting.,"preambles,helper_functions,fitting_functions",0,1,0
notebooks/legacy/51_create_real_data.ipynb,4.9,2026-02-03,9,7,2,# Goal of this notebook is to put Hattie's data into the directory,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/52_kernel_smoothing_real_data.ipynb,12.6,2026-02-03,11,8,3,"# Goal of this notebook is to read in locations, kernel smooth them into various grids.","preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/53_fitting_and_validation_metric_real_data.ipynb,27.7,2026-02-03,17,12,5,# Just write down the two directories.  The estimation results should come out in the output address,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/54_finding_best_param_real_data.ipynb,930.4,2026-02-03,5,4,1,"# for each feature $j$, we look through hyperparams to find $l$ the smallest minimal loss.  We report both best param, optimized param, as well as the loss history for that $l$",,0,0,0
notebooks/legacy/61_nonparametric_boostrap.ipynb,461.7,2026-02-03,20,16,4,# Nonparametric Permutation Test of Spatial Dependence.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/62_pseudo_distance.ipynb,344.8,2026-02-03,15,12,3,# Learning the Pseudo Distance,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/63_pseudo_distance.ipynb,2571.2,2026-02-03,18,13,5,# Detecting Boundaries and Teleconnections via Contrasting Euclidean Distance Against Spatial Similarities,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/Code Packages/pykridge/00_ordinary.ipynb,34.0,2026-02-03,8,4,4,# Ordinary Kriging Example,,0,0,0
notebooks/legacy/Code Packages/pykridge/01_universal.ipynb,12.0,2026-02-03,8,5,3,# Universal Kriging Example,,0,0,0
notebooks/legacy/Code Packages/pykridge/02_kriging3D.ipynb,39.2,2026-02-03,13,7,6,# Three-Dimensional Kriging Example,,0,0,0
notebooks/legacy/Code Packages/pykridge/03_gstools_covmodel.ipynb,24.5,2026-02-03,3,2,1,# GSTools Interface,,0,0,0
notebooks/legacy/Code Packages/pykridge/04_krige_geometric.ipynb,3.8,2026-02-03,6,3,3,# Geometric example,,0,0,0
notebooks/legacy/Code Packages/pykridge/05_kriging_1D.ipynb,3.4,2026-02-03,2,1,1,# 1D Kriging,,0,0,0
notebooks/legacy/Code Packages/pykridge/06_exact_values_example_1D.ipynb,63.9,2026-02-03,3,2,1,# Exact Values,,0,0,0
notebooks/legacy/Code Packages/pykridge/07_regression_kriging2d.ipynb,3.5,2026-02-03,4,3,1,# Regression kriging,,0,0,1
notebooks/legacy/Code Packages/pykridge/08_krige_cv.ipynb,9.9,2026-02-03,3,2,1,# Krige CV,,0,0,1
notebooks/legacy/Code Packages/pykridge/10_classification_kriging2d.ipynb,2.3,2026-02-03,2,1,1,# Classification kriging,,0,0,1
notebooks/legacy/Code Packages/pykridge/kriging_1D.ipynb,3.6,2026-02-03,3,2,1,1D Kriging,,0,0,0
notebooks/legacy/archived_code/21_BivariateKernel_misha (nothing here).ipynb,561.5,2026-02-03,39,37,2,"Note to self: currently, the code works, but the scipy.optimise minimise does not work as expected.  The raeson I think has to do with the bound and the. way to deal with positive definiteness.  If they just arbitrarily give out some perturbations, then obviously they will get just zero gradient.",,1,0,1
notebooks/legacy/archived_code/22_GentonJASA2012_Corrected.ipynb,501.5,2026-02-03,29,23,6,"# My goal here is to make use of the JASA2012 parametrisation, so that the optimisation problem becomes easy.",,0,0,1
notebooks/legacy/archived_code/22_GentonJASA2012_CorrectedOut.ipynb,505.1,2026-02-03,19,13,6,"# My goal here is to make use of the JASA2012 parametrisation, so that the optimisation problem becomes easy.",,0,0,1
notebooks/legacy/archived_code/23_SubmissionAttempt (nothing here).ipynb,447.5,2026-02-03,1,1,0,,,0,0,1
notebooks/legacy/archived_code/23_SubmissionAttemptOut (nothing here).ipynb,453.4,2026-02-03,1,1,0,,,0,0,1
notebooks/legacy/archived_code/24_Genton_ThreeDimensionalOut.ipynb,313.4,2026-02-03,20,19,1,"# In the previous two notebooks, we implemented the bivariate parametrisation given in JASA2012.  In this notebook, we implement its 3-variate version.  Most of the code should be identical to notebook 22, but the parametrisation becomes more complicated.",,0,0,1
notebooks/legacy/archived_code/24_Genton_ThreeDimensional_Corrected.ipynb,293.2,2026-02-03,20,19,1,"# In the previous two notebooks, we implemented the bivariate parametrisation given in JASA2012.  In this notebook, we implement its 3-variate version.  Most of the code should be identical to notebook 22, but the parametrisation becomes more complicated.",,0,0,1
notebooks/legacy/archived_code/25_FirstPyTorch (nothing here).ipynb,18.9,2026-02-03,9,8,1,"Finally, I am able to make use of GPU.",,0,1,1
notebooks/legacy/archived_code/26_pVariatePyTorch (obsolete).ipynb,297.6,2026-02-03,35,31,4,# This notebook has three parts.,,0,1,1
notebooks/legacy/archived_code/26_pVariatePyTorchOut.ipynb,73.1,2026-02-03,39,35,4,# This notebook has three parts.,,0,1,1
