benchmark,benchmark_version,config_hash,config_id,fit_mode,grid_side,dimension_p,smoothness,decay_true,variance_true,range_true,bandwidth,input_spacing,candidate_count,decay_candidate_count,variance_candidate_count,delta,seed,git_commit,git_dirty,model,sample_size,sample_size_times_dimension,inverse_sqrt_sample_size_times_dimension,trial,decay_estimate,variance_estimate,range_estimate,population_grid_decay_target,population_grid_variance_target,population_continuous_decay_target,population_continuous_variance_target,decay_error_to_truth,variance_error_to_truth,decay_error_to_grid_target,variance_error_to_grid_target,sample_objective_at_estimate,population_objective_at_estimate,criterion_deviation_at_estimate,sample_objective_at_population_target,population_objective_at_population_target,criterion_deviation_at_population_target,max_abs_criterion_deviation,population_excess_at_estimate,erm_deterministic_excess_limit,erm_inequality_holds,uniform_likelihood_bound,uniform_excess_bound,max_candidatewise_deviation_to_bound_ratio,simultaneous_candidatewise_bound_holds,uniform_bound_holds,population_excess_within_uniform_bound,finite_grid_oracle_selected,worst_bound_decay,worst_bound_variance,worst_bound_frobenius_norm,worst_bound_operator_norm,worst_bound_stable_rank
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,0,1.0857278972704432,0.7611279871807756,0.9210410845240635,1.0,1.0,1.0000000106910152,0.9999999938290577,0.08572789727044317,-0.23887201281922443,0.08572789727044317,-0.23887201281922443,-0.4823749377480658,-0.35331211353109804,-0.1290628242169678,-0.46973053317454794,-0.3677195720696592,-0.10201096110488872,1.2221332269488705,0.01440745853856118,2.444266453897741,True,29.603490847534843,59.206981695069686,0.05825071988302064,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,1,1.6,0.6710360569530888,0.625,1.0,1.0,1.0000000106910152,0.9999999938290577,0.6000000000000001,-0.32896394304691123,0.6000000000000001,-0.32896394304691123,-0.4538499722121372,-0.3391992742906107,-0.11465069792152639,-0.42360823270908726,-0.3677195720696592,-0.055888660639428045,0.21981357788623077,0.02852029777904852,0.43962715577246153,True,29.603490847534843,59.206981695069686,0.03579351576348141,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,2,1.6,1.3163822043342375,0.625,1.0,1.0,1.0000000106910152,0.9999999938290577,0.6000000000000001,0.31638220433423747,0.6000000000000001,0.31638220433423747,-0.11946685374957422,-0.305194277562904,0.18572742381332977,0.0274870712887757,-0.3677195720696592,0.3952066433584349,7.681987927826473,0.0625252945067552,15.363975855652946,True,29.603490847534843,59.206981695069686,0.2594960157702541,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,3,1.6,0.6300716507089532,0.625,1.0,1.0,1.0000000106910152,0.9999999938290577,0.6000000000000001,-0.3699283492910468,0.6000000000000001,-0.3699283492910468,-0.48344814450150586,-0.33052298037473415,-0.15292516412677173,-0.4393229740620468,-0.3677195720696592,-0.07160340199238757,0.27529660170369336,0.03719659169492506,0.5505932034073867,True,29.603490847534843,59.206981695069686,0.044837286456443394,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,4,1.4910835715147557,0.9389534946450734,0.6706532209888975,1.0,1.0,1.0000000106910152,0.9999999938290577,0.4910835715147557,-0.06104650535492662,0.4910835715147557,-0.06104650535492662,-0.3021609221780435,-0.35338328067342245,0.051222358495378886,-0.2893066763548682,-0.3677195720696592,0.07841289571479104,1.402945635041408,0.014336291396236767,2.805891270082816,True,29.603490847534843,59.206981695069686,0.04809775578104843,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,5,1.572046844949199,0.8633154759228654,0.6361133596068602,1.0,1.0,1.0000000106910152,0.9999999938290577,0.5720468449491991,-0.1366845240771346,0.5720468449491991,-0.1366845240771346,-0.3372352478177289,-0.3522451838388852,0.015009936021156278,-0.3233706389887232,-0.3677195720696592,0.044348933080936015,1.0792522299601959,0.015474388230774017,2.1585044599203917,True,29.603490847534843,59.206981695069686,0.03645692447281325,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,6,1.6,0.5554923786940452,0.625,1.0,1.0,1.0000000106910152,0.9999999938290577,0.6000000000000001,-0.4445076213059548,0.6000000000000001,-0.4445076213059548,-0.5467348720523847,-0.3051653880262658,-0.24156948402611889,-0.5076322324823886,-0.3677195720696592,-0.13991266041272943,1.6427016606486715,0.06255418404339341,3.285403321297343,True,29.603490847534843,59.206981695069686,0.07989350459515979,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,7,0.8470479294037707,1.2459643091957104,1.1805707390181461,1.0,1.0,1.0000000106910152,0.9999999938290577,-0.15295207059622928,0.24596430919571044,-0.15295207059622928,0.24596430919571044,-0.30801972871331307,-0.36305261782330456,0.05503288910999149,-0.3019179256182092,-0.3677195720696592,0.06580164645145004,1.0290390304521972,0.00466695424635466,2.0580780609043945,True,29.603490847534843,59.206981695069686,0.03757432763861378,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,8,1.6,0.37275541546634405,0.625,1.0,1.0,1.0000000106910152,0.9999999938290577,0.6000000000000001,-0.627244584533656,0.6000000000000001,-0.627244584533656,-0.7548427832773859,-0.13872885808868762,-0.6161139251886982,-0.6106728908323247,-0.3677195720696592,-0.24295331876266552,2.9441904855550285,0.2289907139809716,5.888380971110057,True,29.603490847534843,59.206981695069686,0.13873220644733275,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q4_nu0.5,joint,4,16,0.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,17452898011904453821,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,corrected,1,16,0.25,9,0.5527497037082496,1.0,1.8091371072499325,1.0,1.0,1.0000000106910152,0.9999999938290577,-0.4472502962917504,0.0,-0.4472502962917504,0.0,-0.563382185277774,-0.30097675212244634,-0.2624054331553276,-0.5074552414465572,-0.3677195720696592,-0.13973566937689796,2.639719597614438,0.06674281994721287,5.279439195228876,True,29.603490847534843,59.206981695069686,0.09060746051974741,True,True,True,False,0.15,0.35,61.655495354767304,18.533816951419997,11.066590599398296
