aspect_ratio,angle_degrees,smoothness,bandwidth,decay_true,decay_pseudo,decay_shift,implied_range_ratio,variance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,directional_contrast_coefficient_to_minor,leading_shift,coefficient_ratio,directional_kernel_variance,kernel_total_variance,support_radius,quadrature_order
1.0,0.0,0.5,0.003,1.0,0.9975884135351952,0.0024115864648046,1.002417416273169,0.9975913190672324,0.368767684860202,0.003,0.8040922786428688,0.0,0.0024122768359286,0.9997138093299808,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0040533233920169,1.0,0.996742014173239,0.0032579858267609,1.0032686349932418,0.9967473156285844,0.3690799417217395,0.0040533233920169,0.8040922786428688,0.0,0.0032592460423633,0.9996133413722028,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0054764768400905,1.0,0.9955987076538524,0.0044012923461476,1.0044207493564543,0.9956083790751308,0.3695021545386254,0.0054764768400905,0.8040922786428688,0.0,0.0044035927412833,0.999477609472338,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0073993105605927,1.0,0.9940544705997636,0.0059455294002362,1.005981090147554,0.9940721100448996,0.3700731942540941,0.0073993105605927,0.8040922786428688,0.0,0.0059497284890532,0.999294238581694,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0099972661933495,1.0,0.9919689402911044,0.0080310597088955,1.0080960798092515,0.9920011023003354,0.3708457984818664,0.0099972661933495,0.8040922786428688,0.0,0.0080387245536097,0.9990465098457942,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0135073843059079,1.0,0.9891528076212684,0.0108471923787315,1.0109661442551197,0.9892114236375008,0.3718916213472437,0.0135073843059079,0.8040922786428688,0.0,0.0108611834250424,0.9987118303997476,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0182499322573664,1.0,0.9853509093354728,0.0146490906645271,1.0148668768920166,0.9854576764929424,0.3733082066151686,0.0182499322573664,0.8040922786428688,0.0,0.0146746296139037,0.9982596528806116,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.024657625773836,1.0,0.9802196141786343,0.0197803858213656,1.02017954500731,0.980413933478436,0.3752286842627303,0.024657625773836,0.8040922786428688,0.0,0.0198270064944069,0.9976486277414376,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0333151104468964,1.0,0.9732966929440529,0.0267033070559471,1.027435937314422,0.9736499778259208,0.377835375436814,0.0333151104468964,0.8040922786428688,0.0,0.0267884230724838,0.9968226567011282,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0450123054940112,1.0,0.9639613952519602,0.0360386047480397,1.0373859419324776,0.9646027377039226,0.3813790962539219,0.0450123054940112,0.8040922786428688,0.0,0.0361940472916484,0.9957053008646394,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0608164769291628,1.0,0.9513819853253106,0.0486180146746894,1.0511025176265716,0.9525438758237734,0.3862069221804588,0.0608164769291628,0.8040922786428688,0.0,0.048902059513002,0.9941915567331656,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.0821696161856783,1.0,0.9344476991532796,0.0655523008467204,1.0701508505035848,0.9365466469077416,0.392802750924941,0.0821696161856783,0.8040922786428688,0.0,0.066071953913952,0.9921350431393582,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.1110200091328213,1.0,0.9116825040437108,0.0883174959562892,1.0968730841763032,0.915459043081244,0.4018475448163822,0.1110200091328213,0.8040922786428688,0.0,0.0892703321185624,0.9893263961311612,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.15,1.0,0.8811406901349764,0.1188593098650235,1.1348925446251,0.887896736620782,0.4143100426558595,0.15,0.8040922786428688,0.0,0.1206138417964303,0.9854533119476618,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.003,1.0,0.997588413535066,0.002411586464934,1.0024174162732988,0.9975913190672324,0.3687676848602497,0.003,0.8040922786428688,0.0,0.0024122768359286,0.9997138093835988,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0040533233920169,1.0,0.996742014172809,0.0032579858271909,1.0032686349936746,0.9967473156285844,0.3690799417218982,0.0040533233920169,0.8040922786428688,0.0,0.0032592460423633,0.999613341504132,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0054764768400905,1.0,0.9955987076524188,0.0044012923475811,1.0044207493579007,0.9956083790751308,0.3695021545391552,0.0054764768400905,0.8040922786428688,0.0,0.0044035927412833,0.999477609797872,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0073993105605927,1.0,0.9940544705949862,0.0059455294050138,1.005981090152389,0.9940721100448996,0.3700731942558621,0.0073993105605927,0.8040922786428688,0.0,0.0059497284890532,0.999294239384674,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0099972661933495,1.0,0.9919689402751848,0.0080310597248151,1.00809607982543,0.9920011023003354,0.3708457984877701,0.0099972661933495,0.8040922786428688,0.0,0.0080387245536097,0.999046511826158,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0135073843059079,1.0,0.9891528075682222,0.0108471924317777,1.0109661443093358,0.9892114236375008,0.3718916213669712,0.0135073843059079,0.8040922786428688,0.0,0.0108611834250424,0.9987118352837672,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0182499322573664,1.0,0.9853509091587268,0.014649090841273,1.014866877074057,0.9854576764929424,0.3733082066811494,0.0182499322573664,0.8040922786428688,0.0,0.0146746296139037,0.9982596649249326,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.024657625773836,1.0,0.9802196135897984,0.0197803864102016,1.0201795456201506,0.980413933478436,0.3752286844836784,0.024657625773836,0.8040922786428688,0.0,0.0198270064944069,0.9976486574401208,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0333151104468964,1.0,0.9732966909827612,0.0267033090172389,1.0274359393848098,0.9736499778259208,0.3778353761778594,0.0333151104468964,0.8040922786428688,0.0,0.0267884230724838,0.9968227299152844,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0450123054940112,1.0,0.9639613887219716,0.0360386112780283,1.0373859489598527,0.9646027377039226,0.3813790987443231,0.0450123054940112,0.8040922786428688,0.0,0.0361940472916484,0.995705481280731,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0608164769291628,1.0,0.9513819636007648,0.0486180363992351,1.0511025416282087,0.9525438758237734,0.3862069305706289,0.0608164769291628,0.8040922786428688,0.0,0.048902059513002,0.994192000979194,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.0821696161856783,1.0,0.9344476269828088,0.0655523730171911,1.0701509331548629,0.9365466469077416,0.3928027792737015,0.0821696161856783,0.8040922786428688,0.0,0.066071953913952,0.9921361354405,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.1110200091328213,1.0,0.9116822649649444,0.0883177350350556,1.0968733718193495,0.915459043081244,0.401847640889609,0.1110200091328213,0.8040922786428688,0.0,0.0892703321185624,0.9893290742747368,0.2,0.4,1.4142135623730951,96
1.0,5.0,0.5,0.15,1.0,0.8811399026848342,0.1188600973151657,1.134893558846897,0.887896736620782,0.4143103689044899,0.15,0.8040922786428688,0.0,0.1206138417964303,0.9854598406356672,0.2,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.003,1.0,0.9975884135346949,0.0024115864653052,1.002417416273672,0.9975913190672324,0.3687676848603867,0.003,0.8040922786428688,-5.551115123125783e-17,0.0024122768359286,0.9997138095375024,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0040533233920169,1.0,0.99674201417157,0.00325798582843,1.0032686349949218,0.9967473156285844,0.3690799417223555,0.0040533233920169,0.8040922786428688,-5.551115123125783e-17,0.0032592460423633,0.999613341884318,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0054764768400905,1.0,0.9955987076482904,0.0044012923517094,1.0044207493620656,0.9956083790751308,0.3695021545406806,0.0054764768400905,0.8040922786428688,-5.551115123125783e-17,0.0044035927412833,0.9994776107353712,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0073993105605927,1.0,0.9940544705812306,0.0059455294187693,1.0059810901663095,0.9940721100448996,0.3700731942609527,0.0073993105605927,0.8040922786428688,-5.551115123125783e-17,0.0059497284890532,0.9992942416966368,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0099972661933495,1.0,0.991968940229347,0.0080310597706529,1.008096079872013,0.9920011023003354,0.3708457985047689,0.0099972661933495,0.8040922786428688,-5.551115123125783e-17,0.0080387245536097,0.9990465175282928,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0135073843059079,1.0,0.9891528074154824,0.0108471925845177,1.010966144465444,0.9892114236375008,0.3718916214237739,0.0135073843059079,0.8040922786428688,-5.551115123125783e-17,0.0108611834250424,0.9987118493466852,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0182499322573664,1.0,0.985350908649807,0.0146490913501929,1.0148668775982217,0.9854576764929424,0.3733082068711333,0.0182499322573664,0.8040922786428688,-5.551115123125783e-17,0.0146746296139037,0.9982596996051882,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.024657625773836,1.0,0.9802196118943132,0.0197803881056867,1.0201795473847544,0.980413933478436,0.375228685119873,0.024657625773836,0.8040922786428688,-5.551115123125783e-17,0.0198270064944069,0.9976487429540426,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0333151104468964,1.0,0.9732966853354428,0.0267033146645571,1.0274359453462578,0.9736499778259208,0.377835378311616,0.0333151104468964,0.8040922786428688,-5.551115123125783e-17,0.0267884230724838,0.9968229407271773,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0450123054940112,1.0,0.963961369919581,0.0360386300804189,1.0373859691944145,0.9646027377039226,0.381379105915162,0.0450123054940112,0.8040922786428688,-5.551115123125783e-17,0.0361940472916484,0.9957060007692118,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0608164769291628,1.0,0.9513819010470044,0.0486180989529956,1.0511026107386434,0.9525438758237734,0.3862069547293255,0.0608164769291628,0.8040922786428688,-5.551115123125783e-17,0.048902059513002,0.994193280143326,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.0821696161856783,1.0,0.9344474191715378,0.0655525808284621,1.070151171145167,0.9365466469077416,0.3928028609025548,0.0821696161856783,0.8040922786428688,-5.551115123125783e-17,0.066071953913952,0.9921392806671608,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.1110200091328213,1.0,0.9116815765136848,0.0883184234863151,1.0968742001171603,0.915459043081244,0.4018479175422187,0.1110200091328213,0.8040922786428688,-5.551115123125783e-17,0.0892703321185624,0.9893367862574652,0.1999999999999999,0.4,1.4142135623730951,96
1.0,10.0,0.5,0.15,1.0,0.8811376347560063,0.1188623652439937,1.1348964799090753,0.887896736620782,0.4143113085319848,0.15,0.8040922786428688,-5.551115123125783e-17,0.1206138417964303,0.9854786438575376,0.1999999999999999,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.003,1.0,0.9975884135341252,0.0024115864658749,1.0024174162742443,0.9975913190672324,0.3687676848605967,0.003,0.8040922786428688,5.551115123125783e-17,0.0024122768359286,0.9997138097736508,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0040533233920169,1.0,0.9967420141696722,0.0032579858303277,1.003268634996832,0.9967473156285844,0.3690799417230559,0.0040533233920169,0.8040922786428688,5.551115123125783e-17,0.0032592460423633,0.9996133424665704,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0054764768400905,1.0,0.9955987076419665,0.0044012923580336,1.0044207493684458,0.9956083790751308,0.3695021545430174,0.0054764768400905,0.8040922786428688,5.551115123125783e-17,0.0044035927412833,0.9994776121715084,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0073993105605927,1.0,0.9940544705601554,0.0059455294398446,1.0059810901876376,0.9940721100448996,0.370073194268752,0.0073993105605927,0.8040922786428688,5.551115123125783e-17,0.0059497284890532,0.9992942452388578,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0099972661933495,1.0,0.9919689401591184,0.0080310598408814,1.0080960799433831,0.9920011023003354,0.3708457985308128,0.0099972661933495,0.8040922786428688,5.551115123125783e-17,0.0080387245536097,0.9990465262645652,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0135073843059079,1.0,0.9891528071814708,0.010847192818529,1.010966144704616,0.9892114236375008,0.3718916215108007,0.0135073843059079,0.8040922786428688,5.551115123125783e-17,0.0108611834250424,0.9987118708923453,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0182499322573664,1.0,0.985350907870096,0.0146490921299039,1.0148668784012884,0.9854576764929424,0.3733082071622058,0.0182499322573664,0.8040922786428688,5.551115123125783e-17,0.0146746296139037,0.9982597527384518,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.024657625773836,1.0,0.9802196092966788,0.0197803907033212,1.0201795500882849,0.980413933478436,0.37522868609458,0.024657625773836,0.8040922786428688,5.551115123125783e-17,0.0198270064944069,0.9976488739690073,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0333151104468964,1.0,0.9732966766832396,0.0267033233167605,1.027435954479737,0.9736499778259208,0.3778353815807246,0.0333151104468964,0.8040922786428688,5.551115123125783e-17,0.0267884230724838,0.996823263710108,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0450123054940112,1.0,0.963961341112537,0.036038658887463,1.0373860001956818,0.9646027377039226,0.3813791169015668,0.0450123054940112,0.8040922786428688,5.551115123125783e-17,0.0361940472916484,0.9957067966747886,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0608164769291628,1.0,0.9513818052078628,0.0486181947921372,1.051102716623338,0.9525438758237734,0.3862069917430703,0.0608164769291628,0.8040922786428688,5.551115123125783e-17,0.048902059513002,0.9941952399614312,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.0821696161856783,1.0,0.9344471007727172,0.0655528992272828,1.0701515357831124,0.9365466469077416,0.3928029859705423,0.0821696161856783,0.8040922786428688,5.551115123125783e-17,0.066071953913952,0.9921440996380216,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.1110200091328213,1.0,0.911680521597114,0.0883194784028861,1.0968754693235794,0.915459043081244,0.4018483414584695,0.1110200091328213,0.8040922786428688,5.551115123125783e-17,0.0892703321185624,0.9893486033589136,0.2,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.15,1.0,0.8811341584820024,0.1188658415179976,1.1349009573329638,0.887896736620782,0.4143127487941195,0.15,0.8040922786428688,5.551115123125783e-17,0.1206138417964303,0.9855074653754672,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.003,1.0,0.9975884135334266,0.0024115864665733,1.0024174162749462,0.9975913190672324,0.3687676848608543,0.003,0.8040922786428688,5.551115123125783e-17,0.0024122768359286,0.999713810063187,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0040533233920169,1.0,0.9967420141673442,0.0032579858326557,1.0032686349991753,0.9967473156285844,0.3690799417239152,0.0040533233920169,0.8040922786428688,5.551115123125783e-17,0.0032592460423633,0.9996133431808544,0.2,0.4,1.4142135623730951,96
